Zip,HC_Medium,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer
10034,425,0.685202562,0.196896127,0.063950352
10039,95,0.287475873,0.066594793,0.580329166
10040,80,0.665674704,0.228661705,0.047564984
10451,427.5,0.582470506,0.030745313,0.344490541
10452,410,0.689229004,0.016986069,0.2565385
10453,285,0.675916522,0.015662551,0.26885916
10454,202.5,0.682990135,0.028787188,0.256322023
10455,420,0.693655223,0.019942798,0.253228639
10456,399.5,0.578644457,0.019048322,0.366826395
10457,265,0.651758986,0.01866009,0.292188748
10458,275,0.665782496,0.091568752,0.176135788
10459,422.5,0.666605112,0.017460993,0.284549481
10460,225,0.644066314,0.026915306,0.27827394
10461,202.5,0.442160052,0.309168536,0.077218564
10462,240,0.437637874,0.121693147,0.213184477
10463,260,0.518959682,0.289057857,0.114480029
10465,160,0.453477865,0.38670882,0.087169232
10466,155,0.273268451,0.025136741,0.630268411
10467,150,0.50377423,0.077695563,0.30698637
10468,230,0.734249787,0.041482327,0.164670119
10469,95,0.288623828,0.098212467,0.509555271
10470,55,0.229873509,0.341059227,0.334870607
10471,85,0.266866006,0.523284231,0.092924958
10472,290,0.618603364,0.023184996,0.199280227
10473,217.5,0.584992067,0.019815192,0.328740227
10474,160,0.694538138,0.014569211,0.263788589
10001,1845,,,
10002,850,,,
10003,2311,,,
10004,6090,,,
10005,6409.5,,,
10006,3110,,,
10007,2040,,,
10009,665,,,
10010,2950,,,
10011,2120,,,
10012,1887.5,,,
10013,2250,,,
10014,1147.5,,,
10016,3447.5,,,
10017,5842.5,,,
10018,4665,,,
10019,4129.5,,,
10020,7002.5,,,
10021,2040,,,
10022,2745,,,
10023,1485,,,
10024,735,,,
10025,715,,,
10026,760,,,
10027,657.5,,,
10028,1745,,,
10029,785,,,
10030,907.5,,,
10031,745,,,
10032,575,,,
10033,660,,,
10034,317.5,,,
10035,600,,,
10036,4581,,,
10037,587.5,,,
10038,932.5,,,
10039,660,,,
10040,530,,,
10044,172.5,,,
10065,2400,,,
10069,1427.5,,,
10075,1250,,,
10111,10721,,,
10115,485,,,
10128,1502.5,,,
10129,320,,,
10153,1680,,,
10155,1355,,,
10158,1423.5,,,
10162,410,,,
10199,730,,,
10275,50,,,
10279,4860,,,
10280,520,,,
10281,1870,,,
10282,752.5,,,
10285,1225,,,
11109,15,,,
10017,160,,,
10038,225,,,
10044,395,,,
10162,50,,,
10275,227.5,,,
10454,60,,,
11005,50,,,
11101,502.5,,,
11102,300,,,
11103,335,,,
11104,200,,,
11105,197.5,,,
11106,495,,,
11109,450,,,
11201,950,,,
11203,375,,,
11204,297.5,,,
11205,410,,,
11206,550,,,
11207,195,,,
11208,140,,,
11209,305,,,
11210,280,,,
11211,460,,,
11212,345,,,
11213,480,,,
11214,280,,,
11215,415,,,
11216,495,,,
11217,620,,,
11218,390,,,
11219,440,,,
11220,430,,,
11221,425,,,
11222,260,,,
11223,245,,,
11224,312.5,,,
11225,520,,,
11226,497.5,,,
11228,240,,,
11229,225,,,
11230,310,,,
11231,245,,,
11232,325,,,
11233,490,,,
11234,85,,,
11235,275,,,
11236,160,,,
11237,490,,,
11238,520,,,
11239,40,,,
11249,680,,,
11251,265,,,
11252,135,,,
11354,240,,,
11355,145,,,
11356,102.5,,,
11357,90,,,
11358,115,,,
11359,100,,,
11360,135,,,
11361,135,,,
11362,60,,,
11364,80,,,
11365,110,,,
11366,97.5,,,
11367,120,,,
11368,220,,,
11369,135,,,
11370,125,,,
11371,140,,,
11372,695,,,
11373,465,,,
11374,337.5,,,
11375,195,,,
11377,222.5,,,
11378,205,,,
11379,105,,,
11385,247.5,,,
11411,40,,,
11412,40,,,
11413,75,,,
11414,165,,,
11415,215,,,
11416,135,,,
11417,57.5,,,
11418,162.5,,,
11419,195,,,
11420,140,,,
11421,135,,,
11422,87.5,,,
11423,120,,,
11425,35,,,
11426,30,,,
11427,82.5,,,
11428,130,,,
11429,107.5,,,
11432,225,,,
11433,92.5,,,
11434,72.5,,,
11435,237.5,,,
11436,40,,,
11693,42.5,,,
